id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,per_capita_income_rupiah,yearly_income_rupiah,total_debt_rupiah,kategori_user,credit_category
900,36,65,1983,7,Male,977 Littlewood Avenue,30.17,-85.67,16133,32896,69800,735,2,258128000,526336000,1116800000,Hemat,Good
953,18,71,2001,6,Male,993 Mountain View Avenue,33.78,-117.33,14667,29909,42832,664,2,234672000,478544000,685312000,Hemat,Fair
233,37,64,1982,12,Female,896 Rose Street,44.96,-93.26,23278,47464,83591,716,1,372448000,759424000,1337456000,Normal,Good
406,23,64,1996,5,Female,2418 Mill Drive,37.3,-122.0,41750,85128,108678,641,1,668000000,1362048000,1738848000,Boros,Fair
1069,54,69,1965,9,Male,3683 Fifth Street,35.3,-81.03,22487,45852,114746,615,2,359792000,733632000,1835936000,Normal,Fair
180,33,67,1986,7,Female,0 Elm Street,33.53,-112.18,13024,26556,43042,840,2,208384000,424896000,688672000,Hemat,Excellent
996,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,19712,40194,107765,738,6,315392000,643104000,1724240000,Normal,Good
1866,22,67,1998,2,Male,213 Rose Drive,32.85,-96.96,30475,62135,75209,676,2,487600000,994160000,1203344000,Boros,Good
1981,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,19274,39303,23650,702,7,308384000,628848000,378400000,Normal,Good
870,63,64,1956,3,Female,1389 Park Lane,38.64,-76.9,35114,71593,132181,821,3,561824000,1145488000,2114896000,Boros,Excellent
16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,15451,22158,19101,681,5,247216000,354528000,305616000,Hemat,Good
46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,26481,53996,98211,632,4,423696000,863936000,1571376000,Boros,Fair
800,28,73,1991,10,Female,6413 Second Street,30.44,-87.18,12766,26025,23971,723,4,204256000,416400000,383536000,Hemat,Good
1968,25,69,1994,11,Female,611 Elm Lane,40.94,-73.86,31299,63816,100128,775,1,500784000,1021056000,1602048000,Boros,Very Good
697,56,73,1964,1,Female,889 Martin Luther King Avenue,35.72,-78.84,32485,66230,90248,742,3,519760000,1059680000,1443968000,Boros,Very Good
1269,56,56,1963,10,Male,336 Rose Avenue,41.83,-87.68,25365,36335,28929,676,2,405840000,581360000,462864000,Normal,Good
1782,59,61,1961,2,Female,4254 Plum Lane,33.74,-117.99,19438,39633,58586,777,3,311008000,634128000,937376000,Normal,Very Good
1977,43,69,1976,8,Female,825 Sussex Avenue,41.5,-87.5,28048,57185,0,773,3,448768000,914960000,0,Boros,Very Good
1734,37,69,1982,11,Male,185 Forest Drive,33.95,-84.54,40530,82637,84762,739,2,648480000,1322192000,1356192000,Boros,Good
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,34259,31121,32768,619,5,548144000,497936000,524288000,Hemat,Fair
858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,15092,30774,51428,700,3,241472000,492384000,822848000,Hemat,Good
606,48,67,1971,12,Male,1773 Hill Street,39.4,-88.8,16300,33236,57549,747,1,260800000,531776000,920784000,Hemat,Very Good
1564,35,65,1984,10,Male,55 Ocean View Street,35.2,-101.81,18613,37947,49951,683,3,297808000,607152000,799216000,Normal,Good
1109,24,65,1995,11,Male,8245 El Camino Lane,37.68,-97.34,21518,43875,128146,639,1,344288000,702000000,2050336000,Normal,Fair
1301,26,66,1993,5,Female,9530 Washington Street,38.1,-122.63,30335,61850,81158,728,9,485360000,989600000,1298528000,Boros,Good
1399,28,71,1991,5,Male,221 Lexington Avenue,32.08,-81.1,19770,40314,131348,707,4,316320000,645024000,2101568000,Normal,Good
1775,26,67,1993,8,Male,2484 Norfolk Drive,38.91,-75.43,18622,37968,55982,788,3,297952000,607488000,895712000,Normal,Very Good
1673,41,67,1978,11,Male,133 Grant Lane,43.46,-85.95,17145,34954,45456,772,3,274320000,559264000,727296000,Hemat,Very Good
1957,40,74,1979,9,Male,1977 Lake Avenue,34.15,-118.6,47055,95945,222735,772,2,752880000,1535120000,3563760000,Boros,Very Good
1033,18,58,2002,2,Female,352 George Street,43.07,-82.49,16598,33844,42109,684,2,265568000,541504000,673744000,Hemat,Good
1024,66,67,1953,4,Male,554 Grant Boulevard,37.69,-97.13,32162,65573,143069,739,4,514592000,1049168000,2289104000,Boros,Good
1441,40,66,1979,7,Male,631 Ocean View Street,43.07,-89.38,23840,48609,43520,737,3,381440000,777744000,696320000,Boros,Good
1103,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,12618,25723,34007,746,3,201888000,411568000,544112000,Hemat,Very Good
431,19,72,2000,3,Female,973 Federal Avenue,30.62,-87.89,25495,51984,79152,691,3,407920000,831744000,1266432000,Boros,Good
165,34,65,1986,2,Male,95266 Bayview Drive,37.83,-122.22,52813,107683,225017,694,3,845008000,1722928000,3600272000,Boros,Good
353,24,69,1996,2,Female,932 Essex Street,33.83,-117.2,16109,32847,33514,721,2,257744000,525552000,536224000,Hemat,Good
1758,57,66,1963,1,Male,126 Valley Drive,32.32,-90.2,11061,22556,43260,645,4,176976000,360896000,692160000,Hemat,Fair
1266,35,54,1984,9,Female,239 South Drive,39.51,-76.17,22590,46063,106528,618,1,361440000,737008000,1704448000,Normal,Fair
1943,19,65,2000,9,Female,1134 Valley Drive,41.71,-72.83,46762,95348,71972,706,3,748192000,1525568000,1151552000,Boros,Good
792,28,65,1992,1,Female,5863 Grant Avenue,38.71,-95.08,22158,45180,13168,698,2,354528000,722880000,210688000,Normal,Good
1055,37,69,1982,4,Male,3472 11th Avenue,28.5,-81.37,15137,30865,55079,594,1,242192000,493840000,881264000,Hemat,Fair
1159,20,69,1999,11,Male,5590 Bayview Avenue,43.05,-82.67,20377,41543,49021,732,4,326032000,664688000,784336000,Normal,Good
1115,53,73,1966,9,Male,94 Jefferson Drive,32.32,-95.3,14811,30198,40950,693,6,236976000,483168000,655200000,Hemat,Good
38,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,19621,40006,72794,621,1,313936000,640096000,1164704000,Normal,Fair
1027,53,68,1966,5,Male,809 Mountain View Boulevard,38.88,-94.81,30232,61646,0,693,3,483712000,986336000,0,Boros,Good
11,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,33175,67643,0,714,6,530800000,1082288000,0,Boros,Good
871,86,71,1933,5,Female,81 Hill Avenue,42.38,-83.1,13820,22650,0,690,6,221120000,362400000,0,Hemat,Good
746,63,67,1956,10,Male,28136 Wessex Street,40.64,-73.94,14856,30288,42745,689,4,237696000,484608000,683920000,Hemat,Good
1520,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,22549,47213,1082,789,5,360784000,755408000,17312000,Normal,Very Good
1372,76,66,1943,10,Female,96 Ninth Lane,34.95,-96.75,15005,28215,18116,697,2,240080000,451440000,289856000,Hemat,Good
1799,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,51751,105515,192458,646,4,828016000,1688240000,3079328000,Boros,Fair
1905,36,68,1983,12,Male,9340 Valley Street,27.48,-82.57,13972,28489,6087,808,4,223552000,455824000,97392000,Hemat,Excellent
130,63,69,1956,9,Female,6429 Fifth Avenue,35.19,-80.83,39752,81048,156195,781,4,636032000,1296768000,2499120000,Boros,Very Good
1990,19,62,2000,12,Female,849 George Avenue,38.77,-76.06,23180,47263,74853,726,2,370880000,756208000,1197648000,Normal,Good
593,19,71,2000,7,Male,804 Seventh Boulevard,40.52,-122.32,16585,33816,77770,635,1,265360000,541056000,1244320000,Hemat,Fair
540,25,69,1994,9,Female,76009 Valley Stream Boulevard,42.37,-87.86,15770,32160,62803,634,1,252320000,514560000,1004848000,Hemat,Fair
1155,83,65,1936,8,Female,387 Third Boulevard,31.5,-111.06,15462,29494,1196,689,5,247392000,471904000,19136000,Hemat,Good
663,68,63,1951,3,Female,6398 Lake Lane,35.92,-86.84,36563,70554,39078,655,5,585008000,1128864000,625248000,Boros,Fair
1987,63,62,1956,9,Male,786 12th Drive,42.13,-87.92,23098,33686,24997,488,2,369568000,538976000,399952000,Hemat,Poor
1484,92,72,1927,8,Female,290 Forest Street,32.28,-110.73,30818,57732,2261,726,6,493088000,923712000,36176000,Boros,Good
417,21,65,1998,3,Male,320 Hillside Lane,35.1,-90.0,10730,21879,69638,762,1,171680000,350064000,1114208000,Hemat,Very Good
298,28,65,1991,5,Male,437 Ocean View Drive,40.79,-77.85,25031,51041,106989,686,1,400496000,816656000,1711824000,Boros,Good
306,18,69,2002,1,Male,9850 Birch Drive,42.28,-71.16,34519,70380,106797,725,2,552304000,1126080000,1708752000,Boros,Good
607,25,64,1994,8,Male,55 Third Drive,41.92,-87.81,20902,42617,67590,771,5,334432000,681872000,1081440000,Normal,Very Good
1769,75,65,1944,7,Male,177 Mill Boulevard,39.69,-74.25,21861,46031,8332,661,5,349776000,736496000,133312000,Normal,Fair
698,55,66,1964,10,Female,886 Little Creek Drive,42.62,-73.83,31927,65094,23909,699,3,510832000,1041504000,382544000,Boros,Good
896,27,65,1993,2,Female,327 Seventh Boulevard,38.04,-84.45,18278,37268,50388,626,1,292448000,596288000,806208000,Normal,Fair
1975,53,67,1967,2,Female,8224 Fourth Drive,41.55,-73.03,19114,38972,44098,738,3,305824000,623552000,705568000,Normal,Good
645,63,64,1957,2,Female,174 Catherine Boulevard,33.91,-118.23,13075,26661,42667,750,5,209200000,426576000,682672000,Hemat,Very Good
227,48,66,1971,9,Male,496 Hill Lane,44.96,-93.26,40364,82295,1555,736,4,645824000,1316720000,24880000,Boros,Good
84,47,68,1972,9,Male,23068 Park Street,36.49,-81.5,12630,25748,41455,738,3,202080000,411968000,663280000,Hemat,Good
1684,56,65,1963,11,Male,27019 Madison Lane,36.34,-83.28,13668,27861,108313,782,5,218688000,445776000,1733008000,Hemat,Very Good
745,18,72,2001,12,Male,293 First Boulevard,34.06,-117.17,23820,48561,0,752,1,381120000,776976000,0,Boros,Very Good
1508,66,69,1953,4,Female,8929 Essex Drive,39.16,-86.52,19125,38999,64875,747,4,306000000,623984000,1038000000,Normal,Very Good
1158,62,66,1957,4,Male,1569 George Boulevard,35.78,-78.11,16239,33112,56040,716,2,259824000,529792000,896640000,Hemat,Good
1427,34,66,1985,10,Female,326 Elm Lane,35.19,-80.83,49477,100880,210445,770,1,791632000,1614080000,3367120000,Boros,Very Good
352,22,65,1997,11,Male,32 Valley Drive,34.21,-119.18,18175,37058,50548,680,2,290800000,592928000,808768000,Normal,Good
1948,24,58,1995,3,Male,4132 Norfolk Boulevard,38.95,-76.95,23166,47234,89154,685,3,370656000,755744000,1426464000,Normal,Good
724,45,72,1974,5,Female,819 El Camino Boulevard,35.97,-96.76,17237,35142,107898,731,4,275792000,562272000,1726368000,Hemat,Good
543,43,65,1976,3,Female,742 Lake Street,43.37,-124.14,15069,30721,49961,749,3,241104000,491536000,799376000,Hemat,Very Good
1559,56,67,1963,12,Female,607 George Boulevard,34.05,-84.67,28862,58846,126806,746,3,461792000,941536000,2028896000,Boros,Very Good
1199,29,68,1990,6,Male,704 Eighth Avenue,42.93,-75.38,19161,39069,63884,720,2,306576000,625104000,1022144000,Normal,Good
1745,20,65,2000,2,Female,8643 Lafayette Boulevard,33.94,-83.99,24252,49449,30723,728,3,388032000,791184000,491568000,Boros,Good
1950,39,73,1980,3,Female,63 Plum Street,36.69,-84.47,10942,22312,39445,720,5,175072000,356992000,631120000,Hemat,Good
1397,32,72,1987,4,Male,5381 12th Boulevard,36.88,-94.87,17845,36388,92949,710,4,285520000,582208000,1487184000,Normal,Good
873,52,68,1967,8,Female,65 Fifth Boulevard,28.24,-81.28,22086,45037,31792,710,3,353376000,720592000,508672000,Normal,Good
1728,47,63,1972,10,Female,2614 Eighth Lane,44.35,-89.07,18937,38615,74337,601,4,302992000,617840000,1189392000,Normal,Fair
299,40,61,1979,7,Male,196 Plum Lane,40.84,-73.87,13845,28229,55675,622,5,221520000,451664000,890800000,Hemat,Fair
1742,58,67,1961,11,Female,444 Maple Avenue,40.05,-86.03,24638,50232,1218,751,4,394208000,803712000,19488000,Boros,Very Good
1004,59,66,1960,5,Male,868 Maple Drive,37.2,-87.17,16847,34350,61639,705,3,269552000,549600000,986224000,Hemat,Good
301,47,69,1972,11,Male,6009 River Avenue,34.24,-84.49,25654,52308,135319,679,1,410464000,836928000,2165104000,Boros,Good
1011,27,66,1992,8,Female,2058 Spruce Street,27.75,-82.64,15724,32061,58904,676,1,251584000,512976000,942464000,Hemat,Good
906,75,69,1945,2,Male,6930 East Lane,40.57,-112.33,21749,21154,5764,705,6,347984000,338464000,92224000,Hemat,Good
110,52,72,1967,10,Female,31204 El Camino Lane,30.26,-97.74,25594,52186,42852,737,4,409504000,834976000,685632000,Boros,Good
1073,43,70,1976,5,Female,967 First Avenue,41.19,-85.7,17294,35264,70328,770,2,276704000,564224000,1125248000,Hemat,Very Good
705,84,71,1935,9,Female,136 Hillside Avenue,37.91,-122.01,42234,79870,4031,609,2,675744000,1277920000,64496000,Boros,Fair
820,70,59,1949,12,Female,669 South Street,41.7,-70.3,26762,41902,29713,633,5,428192000,670432000,475408000,Normal,Fair
1188,24,61,1995,8,Female,66992 Second Street,36.3,-115.24,31374,63969,128412,626,1,501984000,1023504000,2054592000,Boros,Fair
1128,47,68,1972,7,Male,208 Park Avenue,44.53,-72.0,16976,34606,23909,680,5,271616000,553696000,382544000,Hemat,Good
1479,32,60,1987,11,Male,335 Main Street,33.72,-84.42,13059,26631,33950,805,1,208944000,426096000,543200000,Hemat,Excellent
1594,39,64,1980,11,Male,532 12th Drive,27.98,-80.66,17645,35978,49366,643,3,282320000,575648000,789856000,Normal,Fair
1485,64,69,1955,10,Male,1350 Lake Drive,33.41,-96.57,24402,49756,89743,618,4,390432000,796096000,1435888000,Boros,Fair
1390,37,71,1982,6,Male,691 First Lane,36.17,-86.78,29868,60897,85771,850,3,477888000,974352000,1372336000,Boros,Excellent
644,58,65,1961,3,Female,511 Grant Avenue,34.42,-84.11,20581,41963,53857,741,1,329296000,671408000,861712000,Normal,Very Good
1912,37,60,1982,7,Female,3510 Mountain View Street,44.96,-93.26,22059,44976,134335,684,1,352944000,719616000,2149360000,Normal,Good
1584,27,69,1992,9,Male,9264 Lake Avenue,32.69,-97.01,22922,46733,34333,692,2,366752000,747728000,549328000,Normal,Good
1803,26,60,1993,4,Female,596 Mountain View Lane,41.66,-70.34,23129,47160,64193,578,1,370064000,754560000,1027088000,Normal,Poor
1824,23,65,1996,7,Male,374 East Lane,40.44,-86.91,24737,50433,97029,838,3,395792000,806928000,1552464000,Boros,Excellent
340,20,63,1999,8,Male,51 George Avenue,47.3,-122.37,25363,51713,86165,809,1,405808000,827408000,1378640000,Boros,Excellent
650,45,65,1974,8,Male,3916 Tenth Boulevard,32.75,-97.33,11876,24215,28552,707,6,190016000,387440000,456832000,Hemat,Good
762,49,59,1970,9,Male,813 Fifth Boulevard,40.63,-82.96,18293,37298,52134,683,1,292688000,596768000,834144000,Normal,Good
1061,25,67,1994,12,Male,8931 Norfolk Drive,33.44,-111.8,19844,40457,68826,739,1,317504000,647312000,1101216000,Normal,Good
